species,longitude,latitude,bio01,bio02,bio03,bio04,bio05,bio06,bio07,bio08,bio09,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19
pabulinus,126.66,35.32,129,90,26,9065,299,-45,344,243,11,243,11,1245,251,37,67,626,118,626,118
pabulinus,23.4894,69.8053,-27,84,23,9317,157,-202,359,83,-41,97,-143,568,68,35,19,170,110,168,135
pabulinus,7.09,44.13,67,73,31,5690,196,-39,235,39,141,141,-2,1026,107,53,16,306,210,215,251
pabulinus,9.538,47.934,81,85,31,6583,226,-40,266,164,8,164,-5,968,119,55,29,348,168,348,180
pabulinus,8.204,53.243,87,75,32,5752,211,-17,228,160,41,160,14,775,80,43,17,236,145,236,175
pabulinus,7.723,49.086,88,87,33,6200,230,-28,258,167,47,167,8,725,77,47,16,219,148,219,169
pabulinus,10.38,51.128,75,85,33,6284,213,-40,253,155,3,155,-6,704,80,45,17,220,143,220,155
pabulinus,9.7,54.2167,82,69,30,5932,210,-20,230,153,34,158,8,813,87,47,20,245,147,237,192
pabulinus,41.854106,41.386122,52,114,35,7188,224,-99,323,81,-36,141,-43,881,97,55,16,250,184,197,212
pabulinus,-7.757495,43.724382,135,73,42,3490,230,58,172,99,179,183,93,1008,130,34,35,368,129,150,332
pabulinus,4.931027,45.426904,110,97,34,6374,264,-15,279,158,27,191,27,859,89,59,15,246,180,218,180
pabulinus,6.504138,44.967869,30,76,30,5863,164,-82,246,1,105,106,-42,1352,129,88,10,368,298,311,352
pabulinus,-3.08612,48.71972,111,64,35,4300,208,29,179,67,164,167,57,841,104,40,31,295,129,150,286
pabulinus,-0.450756,48.925694,103,81,38,4689,219,11,208,111,67,162,43,726,82,45,17,217,156,156,195
pabulinus,3.163727,48.920508,103,89,36,5640,237,-5,242,159,66,174,30,639,58,44,9,169,137,169,158
pabulinus,2.798743,48.385737,110,90,36,5713,246,1,245,167,73,183,36,640,62,44,8,171,140,164,158
pabulinus,6.187194,45.476522,60,92,33,6253,207,-67,274,-9,136,139,-22,1221,116,81,9,333,273,283,322
